"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"co_Medium Contributor - High Margin","rides",1979,2228,5.04345629105609,4.87971274685817,0.0335559801759534,"(-0.346 ; 0.674)",0.529,"NO"
"co_Medium Contributor - High Margin","time_to_accept",1979,2228,11.954268486212,9.41574078689165,0.269604671238866,"(1.88 ; 3.197)",0,"YES"
"co_Medium Contributor - High Margin","time_to_reject",1979,2228,13.843420863424,7.77468170547097,0.78057718474604,"(3.002 ; 9.135)",0,"YES"
"co_Medium Contributor - High Margin","accepted",1979,2228,7.89540171803941,7.66472172351885,0.0300963300223584,"(-0.532 ; 0.994)",0.553,"NO"
"co_Medium Contributor - High Margin","rejected",1979,2228,31.4214249621021,30.9519748653501,0.0151670482673311,"(-5.231 ; 6.17)",0.872,"NO"
"co_Medium Contributor - High Margin","ignored",1979,2228,57.1591712986357,58.6745960502693,-0.0258276128622221,"(-11.443 ; 8.412)",0.765,"NO"
"co_Medium Contributor - High Margin","broadcasts",1979,2228,96.4759979787772,97.2912926391382,-0.00837993450642159,"(-14.112 ; 12.481)",0.904,"NO"
"co_Medium Contributor - High Margin","drac_score_avg",1979,2228,50.2035969552138,40.4291362249216,0.241767735919792,"(2.412 ; 17.137)",0.009,"YES"
"co_Medium Contributor - High Margin","driver_aborts",1979,2228,0.952501263264275,0.976660682226212,-0.0247367580180127,"(-0.154 ; 0.106)",0.716,"NO"
"co_Medium Contributor - High Margin","pax_can",1979,2228,0.667508842849924,0.651256732495512,0.0249549978426128,"(-0.076 ; 0.109)",0.731,"NO"
"co_Medium Contributor - High Margin","rides_surge",1979,2228,0.678120262758969,0.616247755834829,0.100401999582654,"(-0.055 ; 0.178)",0.298,"NO"
"co_Passer-By","Utilisation_weighted",313,426,0.32629093079062,0.327187883374035,-0.00274139914402144,"(-0.119 ; 0.117)",0.988,"NO"
"co_Passer-By","AccR",313,426,0.0813636363636364,0.078299057412168,0.0391394105210793,"(-0.025 ; 0.031)",0.832,"NO"
"co_Passer-By","RejR",313,426,0.366477272727273,0.324121679520137,0.130678062849246,"(-0.149 ; 0.234)",0.664,"NO"
"co_Passer-By","IngoreR",313,426,0.552159090909091,0.597579263067695,-0.0760069416154736,"(-0.286 ; 0.195)",0.711,"NO"
"co_Passer-By","PassCanc_perAccepted",313,426,0.0858938547486034,0.0841313269493844,0.0209497206703912,"(-0.037 ; 0.041)",0.929,"NO"
"co_Passer-By","driver_earning",313,426,26626.2555910543,19415.2230046948,0.371411267571625,"(-1771.929 ; 16193.994)",0.115,"NO"
"co_Passer-By","supply_hours",313,426,251.632587859425,204.739436619718,0.229038196128309,"(-7.019 ; 100.806)",0.088,"NO"
